Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Westmoreland,05/04/2020,1,2.9,407,348899,0.3,0.8,116.7,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Montgomery,11/02/2020,132,120.4,14842,830915,15.9,14.5,1786.2,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Forest,10/31/2020,0,0,19,7247,0,0,262.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
McKean,08/05/2020,1,1.1,41,40625,2.5,2.8,100.9,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Forest,05/14/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Cumberland,05/06/2020,19,9,416,253370,7.5,3.6,164.2,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cambria,06/28/2020,1,2.6,83,130192,0.8,2,63.8,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cameron,09/13/2020,0,0,8,4447,0,0,179.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Mercer,08/22/2020,8,5,531,109424,7.3,4.6,485.3,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Wayne,07/06/2020,0,0.3,141,51361,0,0.6,274.5,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Jefferson,07/05/2020,0,1.1,32,43425,0,2.6,73.7,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Somerset,08/09/2020,2,1.1,139,73447,2.7,1.6,189.3,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Sullivan,04/17/2020,0,0,1,6066,0,0,16.5,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Westmoreland,08/15/2020,9,12.4,1636,348899,2.6,3.6,468.9,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Perry,06/14/2020,0,0.7,75,46272,0,1.5,162.1,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Elk,04/24/2020,0,0,3,29910,0,0,10,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Wayne,02/07/2021,7,15,2835,51361,13.6,29.2,5519.8,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Bucks,07/24/2020,48,46,6725,628270,7.6,7.3,1070.4,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Perry,08/02/2020,1,1.7,129,46272,2.2,3.7,278.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Cameron,10/23/2020,0,0,8,4447,0,0,179.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Butler,07/12/2020,5,10.1,427,187853,2.7,5.4,227.3,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Mercer,07/21/2020,20,10.6,280,109424,18.3,9.7,255.9,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Lycoming,03/29/2020,1,0.6,4,113299,0.9,0.5,3.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Erie,03/19/2020,1,0.1,1,269728,0.4,0.1,0.4,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Cumberland,03/22/2020,1,1,12,253370,0.4,0.4,4.7,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Lawrence,03/18/2020,0,0,0,85512,0,0,0,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Lebanon,04/10/2020,16,22,253,141793,11.3,15.5,178.4,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Mercer,09/06/2020,9,7.3,603,109424,8.2,6.7,551.1,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Juniata,06/25/2020,1,0.3,109,24763,4,1.2,440.2,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Blair,08/22/2020,13,8,410,121829,10.7,6.6,336.5,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Fayette,11/10/2020,32,18.6,1264,129274,24.8,14.4,977.8,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Montour,10/01/2020,5,4.1,198,18230,27.4,22.7,1086.1,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Cameron,08/06/2020,0,0.1,6,4447,0,3.2,134.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Allegheny,01/22/2021,435,404.4,66750,1216045,35.8,33.3,5489.1,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Wyoming,07/09/2020,1,0.4,44,26794,3.7,1.6,164.2,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Clinton,12/02/2020,34,33.1,861,38632,88,85.8,2228.7,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Butler,12/12/2020,176,166.6,6555,187853,93.7,88.7,3489.4,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Pike,01/24/2021,19,19.6,2044,55809,34,35.1,3662.5,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Adams,10/10/2020,5,7.7,952,103009,4.9,7.5,924.2,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
